"正しき者よ、主によって喜べ、 さんびは直き者にふさわしい。"
"琴をもって主をさんびせよ、 十弦の立琴をもって主をほめたたえよ。"
"新しい歌を主にむかって歌い、 喜びの声をあげて巧みに琴をかきならせ。"
"主のみことばは直く、 そのすべてのみわざは真実だからである。"
"主は正義と公平とを愛される。 地は主のいつくしみで満ちている。"
"もろもろの天は主のみことばによって造られ、 天の万軍は主の口の息によって造られた。"
"主は海の水を水がめの中に集めるように集め、 深い淵を倉におさめられた。"
"全地は主を恐れ、 世に住むすべての者は主を恐れかしこめ。"
"主が仰せられると、そのようになり、 命じられると、堅く立ったからである。"
"主はもろもろの国のはかりごとをむなしくし、 もろもろの民の企てをくじかれる。"
"主のはかりごとはとこしえに立ち、 そのみこころの思いは世々に立つ。"
"主をおのが神とする国はさいわいである。 主がその嗣業として選ばれた民はさいわいである。"
"主は天から見おろされ、 すべての人の子らを見、"
"そのおられる所から 地に住むすべての人をながめられる。"
"主はすべて彼らの心を造り、 そのすべてのわざに心をとめられる。"
"王はその軍勢の多きによって救を得ない。 勇士はその力の大いなるによって助けを得ない。"
"馬は勝利に頼みとならない。 その大いなる力も人を助けることはできない。"
"見よ、主の目は主を恐れる者の上にあり、 そのいつくしみを望む者の上にある。"
"これは主が彼らの魂を死から救い、 ききんの時にも生きながらえさせるためである。"
"われらの魂は主を待ち望む。 主はわれらの助け、われらの盾である。"
"われらは主の聖なるみ名に信頼するがゆえに、 われらの心は主にあって喜ぶ。"
"主よ、われらが待ち望むように、 あなたのいつくしみをわれらの上にたれてください。"
