"Asimismo David y los príncipes del ejército apartaron para el ministerio a los hijos de Asaf, y de Hemán, y de Jedutún, los cuales profetizasen con arpas, salterios, y címbalos; y el número de ellos fue, de los varones <I> idóneos</I>  para la obra de su ministerio <I>respectivo</I>
"De los hijos de Asaf
"De Jedetún, los hijos de Jedetún
"De Hemán
"Todos estos <I>fueron</I>  hijos de Hemán, vidente del rey en palabras de Dios, para ensalzar cuerno; y Dios dio a Hemán catorce hijos y tres hijas."
"Y todos estos <I>estaban</I>  bajo la dirección de su padre en la música, en la Casa del SEÑOR, con címbalos, salterios y arpas, para el ministerio del templo de Dios, bajo la mano del rey, de Asaf, de Jedetún, y de Hemán."
"Y el número de ellos con sus hermanos sabios en música del SEÑOR, todos los sabios, fue doscientos ochenta y ocho."
"Asimismo echaron suertes guarda contra <I>guarda</I> , el chico con el grande, el sabio con el discípulo."
"Y la primera suerte salió a Asaf, por José; la segunda por Gedalías, quien con sus hermanos e hijos <I>fueron</I>  doce;"
"la tercera por Zacur, con sus hijos y sus hermanos, doce;"
"la cuarta por Izri, con sus hijos y sus hermanos, doce;"
"la quinta por Netanías, con sus hijos y sus hermanos, doce;"
"la sexta por Buquías, con sus hijos y sus hermanos, doce;"
"la séptima por Jesarela, con sus hijos y sus hermanos, doce;"
"la octava por Jesahías, con sus hijos y sus hermanos, doce;"
"la novena por Matanías, con sus hijos y sus hermanos, doce;"
"la décima por Simei, con sus hijos y sus hermanos, doce;"
"la undécima por Azareel, con sus hijos y sus hermanos, doce;"
"la duodécima por Hasabías, con sus hijos y sus hermanos, doce;"
"la decimatercera por Subael, con sus hijos y sus hermanos, doce;"
"la decimacuarta por Matatías, con sus hijos y sus hermanos, doce;"
"la decimaquinta por Jeremot, con sus hijos y sus hermanos, doce;"
"la decimasexta por Hananías, con sus hijos y sus hermanos, doce;"
"la decimaséptima por Josbecasa, con sus hijos y sus hermanos, doce;"
"la decimaoctava por Hanani, con sus hijos y sus hermanos, doce;"
"la decimanovena por Maloti, con sus hijos y sus hermanos, doce;"
"la vigésima por Eliata, con sus hijos y sus hermanos, doce;"
"la vigesimaprima por Hotir, con sus hijos y sus hermanos, doce;"
"la vigesimasegunda por Gidalti, con sus hijos y sus hermanos, doce;"
"la vigesimatercera por Mahaziot, con sus hijos y sus hermanos, doce;"
"la vigesimacuarta por Romanti-ezer, con sus hijos y sus hermanos, doce."
