"わが子よ、わたしの知恵に心をとめ、 わたしの悟りに耳をかたむけよ。"
"これは、あなたが慎みを守り、 あなたのくちびるに知識を保つためである。"
"遊女のくちびるは蜜をしたたらせ、 その言葉は油よりもなめらかである。"
"しかしついには、彼女はにがよもぎのように苦く、 もろ刃のつるぎのように鋭くなる。"
"その足は死に下り、 その歩みは陰府の道におもむく。"
"彼女はいのちの道に心をとめず、 その道は人を迷わすが、彼女はそれを知らない。"
"子供らよ、今わたしの言うことを聞け、 わたしの口の言葉から、離れ去ってはならない。"
"あなたの道を彼女から遠く離し、 その家の門に近づいてはならない。"
"おそらくはあなたの誉を他人にわたし、 あなたの年を無慈悲な者にわたすに至る。"
"おそらくは他人があなたの資産によって満たされ、 あなたの労苦は他人の家に行く。"
"そしてあなたの終りが来て、 あなたの身と、からだが滅びるとき、泣き悲しんで、"
"言うであろう、「わたしは教訓をいとい、 心に戒めを軽んじ、"
"教師の声に聞き従わず、 わたしを教える者に耳を傾けず、"
"集まりの中、会衆のうちにあって、 わたしは、破滅に陥りかけた」と。"
"あなたは自分の水ためから水を飲み、 自分の井戸から、わき出す水を飲むがよい。"
"あなたの泉を、外にまきちらし、 水の流れを、ちまたに流してよかろうか。"
"それを自分だけのものとし、 他人を共にあずからせてはならない。"
"あなたの泉に祝福を受けさせ、 あなたの若い時の妻を楽しめ。"
"彼女は愛らしい雌じか、美しいしかのようだ。 いつも、その乳ぶさをもって満足し、 その愛をもって常に喜べ。"
"わが子よ、どうして遊女に迷い、 みだらな女の胸をいだくのか。"
"人の道は主の目の前にあり、 主はすべて、その行いを見守られる。"
"悪しき者は自分のとがに捕えられ、 自分の罪のなわにつながれる。"
"彼は、教訓がないために死に、 その愚かさの大きいことによって滅びる。"
