"E David, juntamente com os capitães do exército, separou para o ministério os filhos de Asafe, e de Hemã, e de Jedutum, para profetizarem com harpas, e com alaúdes, e com saltérios; e este foi o número dos homens aptos para a obra do seu ministério
"dos filhos de Asafe, Zacur, e José, e Netanias, e Asarela, filhos de Asafe, a cargo de Asafe, que profetizava debaixo da direcção do rei David;"
"dos filhos de Jedutum, Gedalias, e Zeri, e Jesaías, e Hasabias, e Matitias, seis, a cargo de seu pai Jedutum, para tanger harpas, o qual profetizava, louvando e dando graças ao SENHOR;"
"dos filhos de Hemã, Buquias, e Matanias, e Uziel, e Sebuel, e Jerimote, e Hananias, e Hanani, e Eliata, e Gidalti, e Romanti-Ézer, e Josbecasa, e Maloti, e Hotir, e Maaziote."
"Todos estes foram filhos de Hemã, o vidente do rei nas palavras de Deus, para exaltar a corneta. Deus dera a Hemã catorze filhos e três filhas."
"Todos estes estavam ao lado de seu pai para o canto da Casa do SENHOR, com saltérios, e alaúdes e harpas, para o ministério da Casa de Deus; e, ao lado do rei, Asafe, e Jedutum, e Hemã."
"E era o número deles, juntamente com seus irmãos instruídos no canto do SENHOR, todos eles mestres, duzentos e oitenta e oito."
"E deitaram as sortes acerca da guarda igualmente, assim o pequeno como o grande, o mestre juntamente com o discípulo."
"Saiu, pois, a primeira sorte a Asafe, a saber
"a terceira, a Zacur, e seus filhos, e seus irmãos, doze;"
"a quarta, a Izri, e seus filhos, e seus irmãos, doze;"
"a quinta, a Netanias, seus filhos, e seus irmãos, doze;"
"a sexta, a Buquias, e seus filhos, e seus irmãos, doze;"
"a sétima, a Jesarela, e seus filhos, e seus irmãos, doze;"
"a oitava, a Jesaías, e seus filhos, e seus irmãos, doze;"
"a nona, a Matanias, e seus filhos, e seus irmãos, doze;"
"a décima, a Simei, e seus filhos, e seus irmãos, doze;"
"a undécima, a Azarel, e seus filhos, e seus irmãos, doze;"
"a duodécima, a Hasabias, e seus filhos, e seus irmãos, doze;"
"a décima-terceira, a Subael, e seus filhos, e seus irmãos, doze;"
"a décima-quarta, a Matitias, e seus filhos, e seus irmãos, doze;"
"a décima-quinta, a Jerimote, e seus filhos, e seus irmãos, doze;"
"a décima-sexta, a Hananias, e seus filhos, e seus irmãos, doze;"
"a décima-sétima, a Josbecasa, e seus filhos, e seus irmãos, doze;"
"a décima-oitava, a Hanani, e seus filhos, e seus irmãos, doze;"
"a décima-nona, a Maloti, e seus filhos, e seus irmãos, doze;"
"a vigésima, a Eliata, e seus filhos, e seus irmãos, doze;"
"a vigésima-primeira, a Hotir, e seus filhos, e seus irmãos, doze;"
"a vigésima-segunda, a Gidalti, e seus filhos, e seus irmãos, doze;"
"a vigésima-terceira, a Maaziote, e seus filhos, e seus irmãos, doze;"
"a vigésima-quarta, a Romanti-Ézer, e seus filhos, e seus irmãos, doze."
