"Tito pak jsou králové té země, kteréž pobili synové Izraelští, a opanovali zemi jejich, za Jordánem k východu slunce, od potoku Arnon až k hoře Hermon i všecky roviny k východu
"Seon, král Amorejský, kterýž bydlil v Ezebon, a panoval od Aroer, kteréž leží při břehu potoka Arnon, a u prostřed potoka toho, a polovici Galád, až do potoka Jabok, kterýž jest na pomezí synů Ammon,"
"A od rovin až k moři Ceneret k východu, a až k moři pouště, jenž jest moře slané k východu, kudyž se jde k Betsimot, a od polední strany ležící pod horou Fazga."
"Pomezí také Oga, krále Bázan, z ostatků Refaimských, kterýž bydlil v Astarot a v Edrei,"
"A kterýž panoval na hoře Hermon a v Sálecha, i ve vší krajině Bázan až ku pomezí Gessuri a Machati, a nad polovicí Galád, ku pomezí Seona, krále Ezebon."
"Mojžíš, služebník Hospodinův, a synové Izraelští pobili je; a dal ji Mojžíš služebník Hospodinův k vládařství pokolení Rubenovu, Gádovu a polovici pokolení Manassesova."
"Tito pak jsou králové země té, kteréž pobil Jozue a synové Izraelští za Jordánem k západu, od Balgad, kteréž jest na poli Libánském, až k hoře lysé, kteráž se táhne až do Seir, a dal ji Jozue pokolením Izraelským k vládařství po dílích jejich,"
"Na horách i na rovinách, i po polích, i v údolích, i na poušti a na poledne, zemi Hetejského, Amorejského, Kananejského, Ferezejského, Hevejského a Jebuzejského
"Král Jericha jeden, král Hai, kteréž bylo na straně Bethel, jeden;"
"Král Jeruzalémský jeden, král Hebron jeden;"
"Král Jarmut jeden, král Lachis jeden;"
"Král Eglon jeden, král Gázer jeden;"
"Král Dabir jeden, král Gader jeden;"
"Král Horma jeden, král Arad jeden;"
"Král Lebna jeden, král Adulam jeden;"
"Král Maceda jeden, král Bethel jeden;"
"Král Tafua jeden, král Chefer jeden;"
"Král Afek jeden, král Sáron jeden;"
"Král Mádon jeden, král Azor jeden;"
"Král Simron Meron jeden, král Achzaf jeden;"
"Král Tanach jeden, král Mageddo jeden;"
"Král Kedes jeden, král Jekonam z Karmelu jeden;"
"Král Dor z krajiny Dor jeden, král z Goim v Galgal jeden;"
"Král Tersa jeden. Všech králů třidceti a jeden."
