"戒めを愛する人は知識を愛する、 懲しめを憎む者は愚かである。"
"善人は主の恵みをうけ、 悪い計りごとを設ける人は主に罰せられる。"
"人は悪をもって堅く立つことはできない、 正しい人の根は動くことはない。"
"賢い妻はその夫の冠である、 恥をこうむらせる妻は 夫の骨に生じた腐れのようなものである。"
"正しい人の考えは公正である、 悪しき者の計ることは偽りである。"
"悪しき者の言葉は、人の血を流そうとうかがう、 正しい人の口は人を救う。"
"悪しき者は倒されて、うせ去る、 正しい人の家は堅く立つ。"
"人はその悟りにしたがって、ほめられ、 心のねじけた者は、卑しめられる。"
"身分の低い人でも自分で働く者は、 みずから高ぶって食に乏しい者にまさる。"
"正しい人はその家畜の命を顧みる、 悪しき者は残忍をもって、あわれみとする。"
"自分の田地を耕す者は食糧に飽きる、 無益な事に従う者は知恵がない。"
"悪しき者の堅固なやぐらは崩壊する、 正しい人の根は堅く立つ。"
"悪人はくちびるのとがによって、わなに陥る、 しかし正しい人は悩みをのがれる。"
"人はその口の実によって、幸福に満ち足り、 人の手のわざは、その人の身に帰る。"
"愚かな人の道は、自分の目に正しく見える、 しかし知恵ある者は勧めをいれる。"
"愚かな人は、すぐに怒りをあらわす、 しかし賢い人は、はずかしめをも気にとめない。"
"真実を語る人は正しい証言をなし、 偽りの証人は偽りを言う。"
"つるぎをもって刺すように、 みだりに言葉を出す者がある、 しかし知恵ある人の舌は人をいやす。"
"真実を言うくちびるは、いつまでも保つ、 偽りを言う舌は、ただ、まばたきの間だけである。"
"悪をたくらむ者の心には欺きがあり、 善をはかる人には喜びがある。"
"正しい人にはなんの害悪も生じない、 しかし悪しき者は災をもって満たされる。"
"偽りを言うくちびるは主に憎まれ、 真実を行う者は彼に喜ばれる。"
"さとき人は知識をかくす、 しかし愚かな者は自分の愚かなことをあらわす。"
"勤め働く者の手はついに人を治める、 怠る者は人に仕えるようになる。"
"心に憂いがあればその人をかがませる、 しかし親切な言葉はその人を喜ばせる。"
"正しい人は悪を離れ去る、 しかし悪しき者は自ら道に迷う。"
"怠る者は自分の獲物を捕えない、 しかし勤め働く人は尊い宝を獲る。"
"正義の道には命がある、 しかし誤りの道は死に至る。"
